reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A11E4FWMN9BXJD,B0002E3FCO,Josh Adams "Rock Crushes Paper","[2, 4]","I've used three pop filters in my experiences with home recording and podcasting.  This one is the worst.  The plastic screw (yes, plastic) that is meant to grip the pole that you attach the pop filter to, is completely incapable of supporting it's own weight at nearly any angle.  Bad...just bad.Secondly, there is a metal piece that secures the flex arm to the clamp.  It seemed loose after I got it out of the packaging and the flex arm would wobble and rotate in that spot causing a major problem when it came to proper placement.  After twisting on it twice I stripped it out.  Now the thing is worthless.  I'm returning it ASAP.I would rather go to a lady's bag flea market sale with a crazy woman for a day than continue to put up with this thing.  Do yourself a huge favor and buy the Nady 6"" pop filter.  If you don't, you'll wish you did.",1,Avoid this one like your mother-in-law.,1270857600,"04 10, 2010"
AENULRBQ2IE5I,B0002E3MRW,Video Services Of Va,"[2, 2]",Its poorly made with attention to detail. I ordered them to fit on my dual mic clamp purchased here at Amazon. But they will not screw down all the way and are losse. It is useless!!! Other mic holders from different manufacturers work fine.,1,Doesnt work on dual mic clamps. Useless,1270166400,"04 2, 2010"
APVLFUAI3IDF7,B0002E54FK,linh,"[1, 11]","Just assembly for a try, only few rolls with music, it's had some hole on head, that's mean bad quality. buyer beware for this kind of.",1,terible cheap material product I saw,1369440000,"05 25, 2013"
A1UI4WTBYHYUGD,B0002F7K7Y,Aaron haszard,"[0, 7]",CRAP these strings are bad do not buy them if you play any kind of harder music or do a lot of string bends unless you like having strings almost take out your eyes then by all means buy em errrrr i always buy Ernie balls but i got cheap and tryed to save a few buck and buy 2 3 packs of these hunks of crap for under 18 bucks i should have spent the extra 7 bucks and got the 6 pack of Ernies I didn't even get a week out of them and they were rusted and poppin off left and right....................never again,1,I got burned,1368403200,"05 13, 2013"
A39RL01WOC0Q0Q,B0002GJ6FC,al,"[2, 2]",this piece of plastic is just terrible.  you'd be better off with a couple of books and a towel.not recommended!,1,waste of money....,1383350400,"11 2, 2013"
A2HBAYOAKSXIY2,B0002GJ6FC,The Pusher,"[2, 2]","Go build your own. Build it to your specs and have a solid stand. If not, you can find a lot better head stands. This one was a huge disappointment. Does not do what it says and can get you frustrated quick. Im back with my wood block and am happy.",1,"Build your own, seriously!",1357430400,"01 6, 2013"
A1XL4YLORJ5IBS,B0002GLDQM,Ana Pendragon,"[0, 2]",I might have done something wrong...I read in a review that these hold six picks.It held three real well but on the fourth insert the thing just fell apart...I'll just keep using my pockets.,1,Must have done something wrong...,1328054400,"02 1, 2012"
A1SFZ6FGGM3D2U,B0002GLDQM,Bill Henry,"[0, 0]","Man, this thing would not even hold my normal sized picks! DO NOT BUY - it is a wast of money... ug!",1,Junk,1357603200,"01 8, 2013"
A1RXH9W4TZB2EF,B0002GLDQM,D. Bellino,"[0, 0]","I use Clayton 1.26mm picks, a heavy pick but certainly not oversized. My picks don't fit!!! If I shove them in, I can't get them out. Also, this thing is huge for the back of the neck.",1,"Sorry, but...",1400716800,"05 22, 2014"
AVOKN4NDZCN78,B0002GMGYA,Adam Mohr,"[0, 0]",Dont last but a couple weeks..terrible feed back as the ends near the plugs detirorate quickly. Will never buy again even if only 5 bucks,1,Crap,1383004800,"10 29, 2013"
AHF7SNSZPRNCE,B0002GMGYA,Isaac,"[0, 0]","Second one I bought. Lousy build quality and only lasted 3 months. Went through two of these before I learned my lesson. Don't waste your money on this junk. I love Planet Waves stuff normally, but these are junk.",1,Cheap piece of crap.,1399507200,"05 8, 2014"
A2LJ6YNOZU6ND,B0002GMGYA,jimmy three,"[0, 0]","I got a couple of these....only buy this cable if there is NO CHANCE that it will be ever used in the real world....after only a month mine has developed a nasty short in the plug....and of course , since this cord is molded/sealed up tight , it can't be repaired.......you could cut off the plug and solder a good 1/4 inch plug on it...but why bother.?....just save your headaches and money and buy a good heavy duty cord....this cord is too flimsy......its junk with a fancy molded plastic ergonomic looking plug  housing...but inside its junk....thrown away money.!!!.......buy a lottery scratch off instead,,,",1,avoid avoid..,1383696000,"11 6, 2013"
AMU3EIC4EOPX4,B0002GMGYA,Sweed,"[0, 0]",Well this cable certainly didn't last long as the title says 8 weeks.  Bought a new Fender Mustang2 v2 amp a week and a half ago.  Last night amp would turn on but wasn't putting out any sound from the guitar. Messed around a bit and it started to work.  Today same thing and it's obvious nothing is going from guitar to amp.  Thought I had a bad jack in my new amp and wasn't very happy.  Got out the old amp and guess what nothing there either.  At least my new amp is working and I only have to replace a $12 cord.Maybe I'm just unlucky and got a bad one and if I bought it at a local store I'd return it.  Not going through the hassles of mailing it back or asking for a refund.  Will just move on to another company's cord.,1,After 8 weeks the cable quit working,1376784000,"08 18, 2013"
A27E9UEA5ZMTN5,B0002GMGYA,tommy bravo,"[0, 0]",The cable died on me in less than a month. Very disappointed in built quality.,1,Very disappointed in built quality,1404432000,"07 4, 2014"
A25QPZOMZTFFV8,B0002GX5NG,Brian Tassina "Brian Tassina","[1, 1]",I purchased 2 of these items to use with my band for the guitarists. I was disapointed when I mounted a Shure sm 58 mic on it and found that the goose neck would not stay erect. These are made far too loose and flexible for most professional mics. They may work on very small and light weight units but for my needs they are totally unuseable. It would have been helpful to include the suggested weight that this goose neck would support in the sales description. I wasted my money. Don't waste yours. Perhaps viagra would be helpful ;-),1,Far Too flexible for use with a professional microphone,1348444800,"09 24, 2012"
A2HIRKOAFQQLBE,B0002GX5NG,The Bluescaster,"[0, 0]","This arrived and when I tried to use it, it turned out that the male threads were some  oddball metric size that does NOT fit any standard adapter.Instead, these theads stripped the fitting on my mike clip, so now I have to go somewhere else and buy a new gooseneck AND a clip.This is such a standard item, that there is no excuse for making it with non-standard threads, and NO excuse at all for advertising it as standard 5/8ths...",1,This is NOT universal fit,1338940800,"06 6, 2012"
AZ0LJNEP2VRD1,B0002GX6V2,Victor,"[3, 3]","I have several MXR pedals. Every one is superb--except for this PHASE 90 (the non-""script"" version reviewed here). This PHASE 90 is worthless for anyone who wants to use it while playing clean, for it adds a tsunami of irritating distortion, a swoosh of sonic dirt. I did some research and discovered that other people who also hate this pedal's distortion suggest some modifications. (Look up ""MXR Phase 90 Mods,"" and ""Erik's Corner"" will show you how.) I made the ""R28,"" ""C11,"" and ""C12"" modifications. The result: a slightly improved phaser, one that still churned out plenty of distortion. Finally, I tried adjusting the internal trim pot. On no setting could I get rid of ... you guessed it: distortion. I spent literally hours in a futile and frustrating effort to make this pedal sound merely acceptable. No luck. BOTTOM LINE: IF YOU WANT A PHASER THAT DOESN'T ADD SIGNIFICANT DISTORTION, AVOID THIS INCARNATION OF THE PHASE 90.",1,Adds lots of distortion; unworthy of the MXR name,1336003200,"05 3, 2012"
A1MI9FDCNB3CMR,B0002GXF8Q,Jorge Barbarosa "the_bassist","[11, 24]","Okay,  Color coding is a GREAT idea.Divas will not use the red ball windscreen.Why?Because, from a distance it looks like they have a clown nose.No kidding!  I have had several tell this to me and my sound tech.  So save your dough, buy any color but RED.Diva's!!!!  What can I say?",1,Color Coding Helps the sound engineer,1141344000,"03 3, 2006"
A2WDY3XDWDFNYG,B0002GXV3A,BJC,"[1, 3]","yes you can tweak it so its less, but cant even use it for recording with or without an amp so much hiss its unusable.",1,massive amounts of hiss,1359676800,"02 1, 2013"
A3MTR7P9PYAALX,B0002GYW4C,Craig Richard Gillette,"[0, 0]","Do NOT use these to polish your guitar. It leaves tons of small fibers all over, and is hard to clean up. A total disaster. These are good for maybe wiping up dog poop, but not cleaning anything.",1,Terrible! Leaves little fibers everywhere.,1347926400,"09 18, 2012"
A3QEWM5EWFPTE9,B0002GZBO2,Amazon Customer,"[13, 15]","If you are looking for a 100% leather mandolin strap, consider another strap.  The outside surface of the Planet Waves strap is leather but the inside surface is some kind of man-made material glued to the thin leather part.  I will be ordering the Levys ""Leather Mandolin Strap (Walnut)"".",1,Strap not 100% leather,1252195200,"09 6, 2009"
AXMYGK3WC8BPP,B0002H02IG,C. Forbes "Just a guy with an open mind","[0, 0]","I bought this to replace a cord I was using to practice my guitar. My first cheap cord wasn't actually broken, but I didn't want any down time, so I had this just sitting there as a replacement. Fast forward some time, and I just wanted to try it out. Even though my cheap cord was still working fine, I really wanted to just try out the new cord.I really wish I had done that in the first 30 days. This cord did not work right at all. It seems like there is a short in it somewhere. I had to unplug/plug/ maneuver into place. Of course since it is for guitar, it falls almost immediately out of place again. So, I am back to the cheap cord that hasn't failed, unlike this brand new bad cable.",1,Broke almost immediately?!,1402617600,"06 13, 2014"
AN73VQ17FZVJ8,B0002H0A3S,MJK,"[0, 0]","The small e-string and the g- string both broke on the ball end while tuning.  I haven't broke a string while tuning in 20 years, never ever had one break on the ball end.Luckily I bought the three pack.But I can't recommend this product.",1,Can't recommend this product,1404691200,"07 7, 2014"
A3FBE4WF5KQRR1,B0002H0SKS,jamie,"[0, 1]","I thought something was drastically wrong with my guitar but it was these strings, they buzzed and move so much they hit every metal on every fret.",1,Junk,1395705600,"03 25, 2014"
A1TSKKBNV38E8Y,B0002IHFVM,K. Harriger "K.R. Harriger","[1, 2]","Based upon some of the other reviews, I feel I got a different product, as it didn't fit the descriptions given by others. I ordered two of these, and both were very thin material, not sturdy at all. Second, both straps were not adjustable to 59&#34;. Both mine measured 45&#34; from strap button hole to strap button hole, fully-extended. They are useless to me, as my guitar, a dreadnought, covers the middle of my chest when I put it on. I believe I was given a substitute product, since when I ordered these straps, the price was just $1.00, and now they're back up to $4.95 as I write this. I'm really sick of these Amazon substitutions. For what I paid, I won't bother returning them...not worth the hassle. I will donate them to a local music teacher who has students with smaller guitars. Very disappointed. Warning...if you see a price drop below $4.95, don't buy...it's probably not the product that's described here.",1,"Very, very disappointed",1390348800,"01 22, 2014"
A14XXL4GMWSI47,B0002II6V0,Daryl J. Healey "Daryl","[1, 2]","I really wanted this to work, but it doesn't.  Don't bother,it doesn't mute the strings at all.  One star, just for it getting here on time.",1,Glaesel Violin Mute,1384300800,"11 13, 2013"
A2C46HQIZLYJUC,B0002II6V0,tj,"[3, 5]","I bought a Glaesel Bridge & this Glaesel rubber mute together. I bought this because it was cheap and had so many good reviews. The mute fits the bridge fine, but compared to a brass mute (which of course works VERY well) this mute seems to do absolutely nothing. There is almost no discernible difference in playing the violin with or without this mute on. Also, the mute can affect your playing so certain notes screech or stutter or produce other undesirable noises.If You want or need a mute for practicing quietly (as many of us do), I suggest you buy something else. This item does not work and is a total waste of money. I tried this mute on a regular acoustic violin as well as a new Electric Violin bought here on Amazon (FYI, that cheap little electric violin is an awesome & fun item! *Just make sure you buyThe Original Peg Drops by Ardsley& aGlaesel Self-Adjusting 4/4 Violin Bridge Mediumwith it!).I consider this mute completely useless since it does not do anything at all. It does *not* mute or lower the volume of any violin in any noticeable way.",1,"Does Not Work as a Mute - if you need a practice mute, buy something else",1330905600,"03 5, 2012"
A26GUM1C5M1E51,B0002KYXTM,Igor B.,"[0, 1]","Pedal is not working, it just making noise. Poor quality control.Actually it looks like used pedal, not like new.Don't recommend this product.",1,Pedal is not working,1347926400,"09 18, 2012"
A3VIIH9ZNJ823H,B0002KYXTM,Twiddly Diddly,"[3, 5]","I purchased this as an extra CV controller for a Digitech Control 2. When I got it, I tried it out as a volume pedal just for kicks and YES it does suck the tone right out of the signal. As far as a CV controler? it sucks at that too! Why? it squeaks as you move it (after 5 minutes use, right out of the box). Behringer is a joke and gives German engineering a bad name (although only 'conceived' in Germany).It's a direct copy of the Yamaha FC9 and so I am about to purchase one of those and see how it compares. I'm betting the extra 45 dollars will be well worth it.Also, you may say ""who cares if it squeaks a little""? well I do when I am controlling volume swells or a 'wah' effect at low volume in the studio!Good luck if you buy it.",1,Forget it unless you are flat broke.,1284336000,"09 13, 2010"
A2Y8JW5NSY95OL,B0002KZE7C,JdoubleH,"[1, 2]","Pretty disappointed in the color. As the review title indicates, what I received is more of a 'black chrome' or dingy stainless color. These are simply not going to work with the MOTS pickguard I purchased them for. Perhaps they would blend in better on a black, black pearl or tort pickguard.I ordered another package from another vendor and got the same result. Perhaps it is a large factory shipment that is 'bad'. Some are very dull looking. Very disappointing, really.",1,Pretty dark color for chrome- maybe black chrome in the wrong package?,1363564800,"03 18, 2013"
A136IQFGB01KQB,B0002KZE7C,Stinky K.,"[0, 0]",I can't believe these were actually sent to me. The heads are smaller than normal pickguard screws and the metal is blackened. They come from Taiwan but look like they were subcontracted to China. I am sending them back. There is no way I would use these. Any screw you get from Home Depot would work better and look more attractive. I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.,1,The Slide Continues,1389398400,"01 11, 2014"
A20TFY5J3WNJU2,B0002KZEMC,crazy finger magic,"[0, 0]",This pickguard was used. It not only was missing the protective plastic but it actually was scratched from being on a guitar before.,1,I payed for a new pickguard but got a used one.,1399680000,"05 10, 2014"
AZVME8JMPD3F4,B0002KZEMC,Reaperman,"[0, 1]",Bought this a while back just got around to installing it on my mexi strat. Doesn't fit perfect. Kinda bummed but oh well,1,Was so so.,1339718400,"06 15, 2012"
A1EQYR35KLTECN,B0002KZIV4,animulvr,"[0, 0]","Need 2 volume knobs and 1 tone, so for the price (and in the past) I have always purchased 2 packs together with no issues, however recently I needed and ordered some and I found out of 4 sets, no consistency in quality... example the lettering is thinner on some than others within the same set and between sets of the same item#. Also some had bright white lettering and others did not (but where not vintage lettering either). Guess these are too cheap for Fender to have QC on.Will try other brands next time.",1,Inconsistent sets probably no QC for these.,1387324800,"12 18, 2013"
A136IQFGB01KQB,B0002KZIVY,Stinky K.,"[1, 2]","Unless you guys are receiving something I am not, how can you give this anything more than one star. My backplate is so thin and cut so close to the screws that you can actually see were the route begins on the back of my Fender stratocaster. This is inexcusable. All the other Fender backplates I have have enough lip to cover the route, but not this mint green one. I simply cannot understand what Fender is thinking.  I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.",1,The Slide of Fender continues,1389398400,"01 11, 2014"
A2W7M00WSI4JND,B0002M6CVC,Kreature,"[1, 3]","these strings are great if you need practice changing your strings. these strings last 2 days and then they are dull and lifeless and need to be changed, the high e and the b string tend to break before they even get tuned to pitch, Ernie Ball strings are garbage, the only time I will buy these is if it's the only thing available, most people like these because they are endorsed by so many musicians that are paid to say that they like this garbage, and even if they do like them they are not your average players that need more than 2 days out of a set of strings, Touring musicians have the guitar tech change the strings after they play their set, and they get an unlimited amount of these crap strings so their guitars always sound fresh,  you can spend 4$ for a set of Ernie Ball or D'Addario every 2 days or you can spend $7 for a set of DR strings and change them once a month, or you can spend 10$ for a set of Elixir Polywebs and change your strings once every 3 months,  It doesn't make sense to use these crappy Ernie's unless you are sponsored by EB and have an endless supply and a tech to change them for you like the rockstars,",1,Rusts in a matter of 2 days,1385856000,"12 1, 2013"
A1IB42LRNA9QLW,B0002OOMU8,Joshua Cuellar "FurianGuitarist","[16, 16]","It is OK, but it does not compare to the ergo holder.Which you may find here:Dunlop Ergo Pickholder.The main problem with this pickholder is that it is very difficult to get your pick out, and it is extremely fragile.",1,No Bueno,1278201600,"07 4, 2010"
A3SH7VETIJJ7LA,B0002Z2D08,Hayden,"[1, 1]","I bought one of each Soft, Medium and Hard Wedgie rubber picks and even though the colours were right, the Hard is as soft as the Soft. They felt exactly the same in fact. The Medium was the hardest out of the bunch.Packaging error? I have no idea. The fact that each stiffness only comes in one colour and the colours were right lead me to think something is wrong with the manufacturing. So check with what you get.Sound wise, the rubber really removes the treble on my acoustic guitar, making it sound really dull and muted.There is a lot more friction from the rubber on the strings that I do not think it is idea for strumming.The only reason I can think of using is if you want to reduce the noise but frankly, you would have much more control if you used your fingers instead.",1,Hard or Soft? They felt the same.,1350432000,"10 17, 2012"
A3MPMALWL0ERCA,B0002Z2D0I,Walter S. Early "earlyfam","[0, 1]","These picks do cut pick noise but with an acoustic guitar they wear very rapidly and leave a rubbery residue all over my guitar. I don't like the thought of what damage that stuff would do over time to the inside of my guitar with that stuff getting all over my pickups, etc. Big disappointment. I'm getting a lot of high string in my guitar sound and thought these picks might solve the problem. Back to the drawing board I go.",1,Want rubber residue all over your guitar?,1361836800,"02 26, 2013"
AKGWRO6IC0VIE,B0002ZO3LK,Vivid,"[3, 3]","OK, it was cheap (nine bucks at the time), the design looked good and sensible, and it seemed a perfect solution to a real need. I bought it without hesitation. HOWEVER(!), once hooked up, I was very surprised how flimsy it is. I have a 13"" gooseneck, a light condenser mic and small shock-mount on it. At the slightest movement of the mic stand this attachment flaps up and down like crazy and will continue this way for a something like a minute if not stopped by hand. Obviously, any small bump into the stand will once again set this off. Using it at home, I've gotten away with not touching the stand while recording by being very careful, but obviously this unit is far from ideal. Since then, I've gotten another sidemount boom from this same brand, and though I haven't really put through its paces yet, this other unit is rock solid and far more adjustable and reliable, AND only costs a few bucks more (On Stage MSA9508 Posi-Lok Sidemount Boom). For anyone considering this product, I HIGHLY recommend bypassing this one and forking out just a few more bucks for the On Stage MSA9508 Posi-Lok Sidemount Boom. You will be far far happier.Cheers!",1,"Good Idea, Really Bad Execution - better unit for a few $'s more",1349395200,"10 5, 2012"
A6M441DQ7HL09,B0006NDF8A,Mike "Humans are people too.","[0, 0]","I'm another reviewer who has, upon personal inspection, discovered that the rear leg of the stand is too short to provide staedy support for any beloved guitar. I returned it.I've &#34;First Act&#34; brand stands similar in appearance but more intelligently constructed.",1,Dangerous for loved guitars,1388361600,"12 30, 2013"
A6GXP9ESXIH7O,B0006NDF8A,trishlink,"[1, 1]","This arrived with one end of the security strap and metal part...Broken! OK...I bought it on sale and returning it would not be an option...it would cost as much to mail back as it did to buy it!Obviously it was not the packaging which was more than adequate and there were no broken off pieces in the box.Of course,I could not recommend this product to anyone...most disappointing purchase!",1,Damaged Goods!,1359504000,"01 30, 2013"
A3PGQWCSJPCYDH,B0006ZXFWO,Minh Pham,"[0, 0]","They only fit if you have enough room in your strap button, if not they will just pop right out. I threw mine away.",1,Don't buy these,1388102400,"12 27, 2013"
